Tick,V_uV
0,-68144
1,-67660
2,-67184
3,-66715
4,-66253
5,-65799
6,-65352
7,-64912
8,-64478
9,-64051
10,-63631
11,-63218
12,-62811
13,-62410
14,-62016
15,-61628
16,-61246
17,-60870
18,-60500
19,-60135
20,-59776
21,-59423
22,-59075
23,-58733
24,-58396
25,-58064
26,-57737
27,-57416
28,-57100
29,-56789
30,-56482
31,-56180
32,-55883
33,-55591
34,-55303
35,-55020
36,-54741
37,-54466
38,-54196
39,-53930
40,-53668
41,-53410
42,-53156
43,-52906
44,-52660
45,-52418
46,-52180
47,-51945
48,-51714
49,-51487
50,-51263
51,-51043
52,-50826
53,-50613
54,-50403
55,-50196
56,-49992
57,-49792
58,-49595
59,-49401
60,-49210
61,-49022
62,-48837
63,-48655
64,-48476
65,-48299
66,-48125
67,-47954
68,-47785
69,-47619
70,-47456
71,-47295
72,-47137
73,-46981
74,-46828
75,-46677
76,-46528
77,-46382
78,-46238
79,-46096
80,-45956
81,-45819
82,-45684
83,-45551
84,-45420
85,-45291
86,-45164
87,-45039
88,-44916
89,-44795
90,-44676
91,-44559
92,-44444
93,-44330
94,-44218
95,-44108
96,-44000
97,-43893
98,-43788
99,-43685
100,-43583
101,-43483
102,-43384
103,-43287
104,-43191
105,-43097
106,-43004
107,-42913
108,-42823
109,-42735
110,-42648
111,-42562
112,-42478
113,-42395
114,-42313
115,-42233
116,-42154
117,-42076
118,-41999
119,-41924
120,-41850
121,-41777
122,-41705
123,-41634
124,-41564
125,-41495
126,-41427
127,-41360
128,-41294
129,-41230
130,-41167
131,-41105
132,-41043
133,-40982
134,-40922
135,-40863
136,-40805
137,-40748
138,-40692
139,-40637
140,-40583
141,-40530
142,-40477
143,-40425
144,-40374
145,-40324
146,-40275
147,-40226
148,-40178
149,-40131
150,-40085
151,-40039
152,-39994
153,-39950
154,-39907
155,-39864
156,-39822
157,-39781
158,-39740
159,-39700
160,-39660
161,-39621
162,-39583
163,-39545
164,-39508
165,-39471
166,-39435
167,-39400
168,-39365
169,-39331
170,-39297
171,-39264
172,-39231
173,-39199
174,-39167
175,-39136
176,-39105
177,-39075
178,-39045
179,-39016
180,-38987
181,-38959
182,-38931
183,-38903
184,-38876
185,-38849
186,-38823
187,-38797
188,-38772
189,-38747
190,-38722
191,-38698
192,-38674
193,-38650
194,-38627
195,-38604
196,-38582
197,-38560
198,-38538
199,-38517
200,-38496
201,-38475
202,-38455
203,-38435
204,-38415
205,-38396
206,-38377
207,-38358
208,-38339
209,-38321
210,-38303
211,-38285
212,-38268
213,-38251
214,-38234
215,-38217
216,-38201
217,-38185
218,-38169
219,-38153
220,-38138
221,-38123
222,-38108
223,-38093
224,-38079
225,-38065
226,-38051
227,-38037
228,-38023
229,-38010
230,-37997
231,-37984
232,-37971
233,-37958
234,-37946
235,-37934
236,-37922
237,-37910
238,-37898
239,-37887
240,-37876
241,-37865
242,-37854
243,-37843
244,-37832
245,-37822
246,-37812
247,-37802
248,-37792
249,-37782
250,-37772
251,-37763
252,-37754
253,-37745
254,-37736
255,-37727
256,-37718
257,-37709
258,-37701
259,-37693
260,-37685
261,-37677
262,-37669
263,-37661
264,-37653
265,-37645
266,-37638
267,-37631
268,-37624
269,-37617
270,-37610
271,-37603
272,-37596
273,-37589
274,-37582
275,-37576
276,-37570
277,-37564
278,-37558
279,-37552
280,-37546
281,-37540
282,-37534
283,-37528
284,-37522
285,-37516
286,-37511
287,-37506
288,-37501
289,-37496
290,-37491
291,-37486
292,-37481
293,-37476
294,-37471
295,-37466
296,-37461
297,-37456
298,-37451
299,-37447
300,-37443
301,-37439
302,-37435
303,-37431
304,-37427
305,-37423
306,-37419
307,-37415
308,-37411
309,-37407
310,-37403
311,-37399
312,-37395
313,-37391
314,-37388
315,-37385
316,-37382
317,-37379
318,-37376
319,-37373
320,-37370
321,-37367
322,-37364
323,-37361
324,-37358
325,-37355
326,-37352
327,-37349
328,-37346
329,-37343
330,-37340
331,-37337
332,-37334
333,-37331
334,-37328
335,-37325
336,-37323
337,-37321
338,-37319
339,-37317
340,-37315
341,-37313
342,-37311
343,-37309
344,-37307
345,-37305
346,-37303
347,-37301
348,-37299
349,-37297
350,-37295
351,-37293
352,-37291
353,-37289
354,-37287
355,-37285
356,-37283
357,-37281
358,-37279
359,-37277
360,-37275
361,-37273
362,-37271
363,-37269
364,-37267
365,-37265
366,-37263
367,-37262
368,-37261
369,-37260
370,-37259
371,-37258
372,-37257
373,-37256
374,-37255
375,-37254
376,-37253
377,-37252
378,-37251
379,-37250
380,-37249
381,-37248
382,-37247
383,-37246
384,-37245
385,-37244
386,-37243
387,-37242
388,-37241
389,-37240
390,-37239
391,-37238
392,-37237
393,-37236
394,-37235
395,-37234
396,-37233
397,-37232
398,-37231
399,-37230
400,-37229
401,-37228
402,-37227
403,-37226
404,-37225
405,-37224
406,-37223
407,-37222
408,-37221
409,-37220
410,-37219
411,-37218
412,-37217
413,-37216
414,-37215
415,-37214
416,-37213
417,-37212
418,-37211
419,-37210
420,-37209
421,-37208
422,-37207
423,-37206
424,-37205
425,-37204
426,-37203
427,-37202
428,-37201
429,-37200
430,-37199
431,-37199
432,-37199
433,-37199
434,-37199
435,-37199
436,-37199
437,-37199
438,-37199
439,-37199
440,-37199
441,-37199
442,-37199
443,-37199
444,-37199
445,-37199
446,-37199
447,-37199
448,-37199
449,-37199
450,-37199
451,-37199
452,-37199
453,-37199
454,-37199
455,-37199
456,-37199
457,-37199
458,-37199
459,-37199
460,-37199
461,-37199
462,-37199
463,-37199
464,-37199
465,-37199
466,-37199
467,-37199
468,-37199
469,-37199
470,-37199
471,-37199
472,-37199
473,-37199
474,-37199
475,-37199
476,-37199
477,-37199
478,-37199
479,-37199
480,-37199
481,-37199
482,-37199
483,-37199
484,-37199
485,-37199
486,-37199
487,-37199
488,-37199
489,-37199
490,-37199
491,-37199
492,-37199
493,-37199
494,-37199
495,-37199
496,-37199
497,-37199
498,-37199
499,-37199
500,-37199
501,-37199
502,-37199
503,-37199
504,-37199
505,-37199
506,-37199
507,-37199
508,-37199
509,-37199
510,-37199
511,-37199
512,-37199
513,-37199
514,-37199
515,-37199
516,-37199
517,-37199
518,-37199
519,-37199
520,-37199
521,-37199
522,-37199
523,-37199
524,-37199
525,-37199
526,-37199
527,-37199
528,-37199
529,-37199
530,-37199
531,-37199
532,-37199
533,-37199
534,-37199
535,-37199
536,-37199
537,-37199
538,-37199
539,-37199
540,-37199
541,-37199
542,-37199
543,-37199
544,-37199
545,-37199
546,-37199
547,-37199
548,-37199
549,-37199
550,-37199
551,-37199
552,-37199
553,-37199
554,-37199
555,-37199
556,-37199
557,-37199
558,-37199
559,-37199
560,-37199
561,-37199
562,-37199
563,-37199
564,-37199
565,-37199
566,-37199
567,-37199
568,-37199
569,-37199
570,-37199
571,-37199
572,-37199
573,-37199
574,-37199
575,-37199
576,-37199
577,-37199
578,-37199
579,-37199
580,-37199
581,-37199
582,-37199
583,-37199
584,-37199
585,-37199
586,-37199
587,-37199
588,-37199
589,-37199
590,-37199
591,-37199
592,-37199
593,-37199
594,-37199
595,-37199
596,-37199
597,-37199
598,-37199
599,-37199
600,-37199
601,-37199
602,-37199
603,-37199
604,-37199
605,-37199
606,-37199
607,-37199
608,-37199
609,-37199
610,-37199
611,-37199
612,-37199
613,-37199
614,-37199
615,-37199
616,-37199
617,-37199
618,-37199
619,-37199
620,-37199
621,-37199
622,-37199
623,-37199
624,-37199
625,-37199
626,-37199
627,-37199
628,-37199
629,-37199
630,-37199
631,-37199
632,-37199
633,-37199
634,-37199
635,-37199
636,-37199
637,-37199
638,-37199
639,-37199
640,-37199
641,-37199
642,-37199
643,-37199
644,-37199
645,-37199
646,-37199
647,-37199
648,-37199
649,-37199
650,-37199
651,-37199
652,-37199
653,-37199
654,-37199
655,-37199
656,-37199
657,-37199
658,-37199
659,-37199
660,-37199
661,-37199
662,-37199
663,-37199
664,-37199
665,-37199
666,-37199
667,-37199
668,-37199
669,-37199
670,-37199
671,-37199
672,-37199
673,-37199
674,-37199
675,-37199
676,-37199
677,-37199
678,-37199
679,-37199
680,-37199
681,-37199
682,-37199
683,-37199
684,-37199
685,-37199
686,-37199
687,-37199
688,-37199
689,-37199
690,-37199
691,-37199
692,-37199
693,-37199
694,-37199
695,-37199
696,-37199
697,-37199
698,-37199
699,-37199
700,-37199
701,-37199
702,-37199
703,-37199
704,-37199
705,-37199
706,-37199
707,-37199
708,-37199
709,-37199
710,-37199
711,-37199
712,-37199
713,-37199
714,-37199
715,-37199
716,-37199
717,-37199
718,-37199
719,-37199
720,-37199
721,-37199
722,-37199
723,-37199
724,-37199
725,-37199
726,-37199
727,-37199
728,-37199
729,-37199
730,-37199
731,-37199
732,-37199
733,-37199
734,-37199
735,-37199
736,-37199
737,-37199
738,-37199
739,-37199
740,-37199
741,-37199
742,-37199
743,-37199
744,-37199
745,-37199
746,-37199
747,-37199
748,-37199
749,-37199
750,-37199
751,-37199
752,-37199
753,-37199
754,-37199
755,-37199
756,-37199
757,-37199
758,-37199
759,-37199
760,-37199
761,-37199
762,-37199
763,-37199
764,-37199
765,-37199
766,-37199
767,-37199
768,-37199
769,-37199
770,-37199
771,-37199
772,-37199
773,-37199
774,-37199
775,-37199
776,-37199
777,-37199
778,-37199
779,-37199
780,-37199
781,-37199
782,-37199
783,-37199
784,-37199
785,-37199
786,-37199
787,-37199
788,-37199
789,-37199
790,-37199
791,-37199
792,-37199
793,-37199
794,-37199
795,-37199
796,-37199
797,-37199
798,-37199
799,-37199
800,-37199
801,-37199
802,-37199
803,-37199
804,-37199
805,-37199
806,-37199
807,-37199
808,-37199
809,-37199
810,-37199
811,-37199
812,-37199
813,-37199
814,-37199
815,-37199
816,-37199
817,-37199
818,-37199
819,-37199
820,-37199
821,-37199
822,-37199
823,-37199
824,-37199
825,-37199
826,-37199
827,-37199
828,-37199
829,-37199
830,-37199
831,-37199
832,-37199
833,-37199
834,-37199
835,-37199
836,-37199
837,-37199
838,-37199
839,-37199
840,-37199
841,-37199
842,-37199
843,-37199
844,-37199
845,-37199
846,-37199
847,-37199
848,-37199
849,-37199
850,-37199
851,-37199
852,-37199
853,-37199
854,-37199
855,-37199
856,-37199
857,-37199
858,-37199
859,-37199
860,-37199
861,-37199
862,-37199
863,-37199
864,-37199
865,-37199
866,-37199
867,-37199
868,-37199
869,-37199
870,-37199
871,-37199
872,-37199
873,-37199
874,-37199
875,-37199
876,-37199
877,-37199
878,-37199
879,-37199
880,-37199
881,-37199
882,-37199
883,-37199
884,-37199
885,-37199
886,-37199
887,-37199
888,-37199
889,-37199
890,-37199
891,-37199
892,-37199
893,-37199
894,-37199
895,-37199
896,-37199
897,-37199
898,-37199
899,-37199
900,-37199
901,-37199
902,-37199
903,-37199
904,-37199
905,-37199
906,-37199
907,-37199
908,-37199
909,-37199
910,-37199
911,-37199
912,-37199
913,-37199
914,-37199
915,-37199
916,-37199
917,-37199
918,-37199
919,-37199
920,-37199
921,-37199
922,-37199
923,-37199
924,-37199
925,-37199
926,-37199
927,-37199
928,-37199
929,-37199
930,-37199
931,-37199
932,-37199
933,-37199
934,-37199
935,-37199
936,-37199
937,-37199
938,-37199
939,-37199
940,-37199
941,-37199
942,-37199
943,-37199
944,-37199
945,-37199
946,-37199
947,-37199
948,-37199
949,-37199
950,-37199
951,-37199
952,-37199
953,-37199
954,-37199
955,-37199
956,-37199
957,-37199
958,-37199
959,-37199
960,-37199
961,-37199
962,-37199
963,-37199
964,-37199
965,-37199
966,-37199
967,-37199
968,-37199
969,-37199
970,-37199
971,-37199
972,-37199
973,-37199
974,-37199
975,-37199
976,-37199
977,-37199
978,-37199
979,-37199
980,-37199
981,-37199
982,-37199
983,-37199
984,-37199
985,-37199
986,-37199
987,-37199
988,-37199
989,-37199
990,-37199
991,-37199
992,-37199
993,-37199
994,-37199
995,-37199
996,-37199
997,-37199
998,-37199
999,-37199
