Tick,V_uV
0,-73491
1,-72999
2,-72511
3,-72027
4,-71547
5,-71070
6,-70597
7,-70128
8,-69663
9,-69201
10,-68743
11,-68288
12,-67837
13,-67389
14,-66945
15,-66504
16,-66067
17,-65633
18,-65203
19,-64776
20,-64352
21,-63932
22,-63515
23,-63101
24,-62690
25,-62283
26,-61879
27,-61478
28,-61080
29,-60685
30,-60293
31,-59904
32,-59518
33,-59135
34,-58755
35,-58378
36,-58004
37,-57633
38,-57265
39,-56900
40,-56538
41,-56179
42,-55823
43,-55469
44,-55118
45,-54770
46,-54425
47,-54082
48,-53742
49,-53405
50,-53070
51,-52738
52,-52408
53,-52081
54,-51757
55,-51435
56,-51116
57,-50799
58,-50485
59,-50173
60,-49863
61,-49556
62,-49251
63,-48949
64,-48649
65,-48351
66,-48056
67,-47763
68,-47472
69,-47184
70,-46898
71,-46614
72,-46332
73,-46052
74,-45775
75,-45500
76,-45227
77,-44956
78,-44687
79,-44420
80,-44155
81,-43892
82,-43632
83,-43374
84,-43118
85,-42864
86,-42612
87,-42362
88,-42113
89,-41866
90,-41621
91,-41378
92,-41137
93,-40898
94,-40661
95,-40426
96,-40193
97,-39961
98,-39731
99,-39503
100,-39277
101,-39053
102,-38830
103,-38609
104,-38390
105,-38173
106,-37957
107,-37743
108,-37531
109,-37320
110,-37111
111,-36903
112,-36697
113,-36493
114,-36290
115,-36089
116,-35889
117,-35691
118,-35495
119,-35300
120,-35107
121,-34915
122,-34725
123,-34536
124,-34349
125,-34163
126,-33979
127,-33796
128,-33614
129,-33434
130,-79114
131,-78614
132,-78114
133,-77614
134,-77114
135,-76614
136,-76114
137,-75614
138,-75114
139,-74614
140,-74114
141,-73617
142,-73124
143,-72635
144,-72150
145,-71669
146,-71192
147,-70718
148,-70248
149,-69782
150,-69319
151,-68860
152,-68404
153,-67952
154,-67504
155,-67059
156,-66618
157,-66180
158,-65745
159,-65314
160,-64886
161,-64462
162,-64041
163,-63623
164,-63208
165,-62797
166,-62389
167,-61984
168,-61582
169,-61183
170,-60787
171,-60395
172,-60006
173,-59620
174,-59237
175,-58857
176,-58480
177,-58106
178,-57734
179,-57365
180,-56999
181,-56636
182,-56276
183,-55919
184,-55565
185,-55213
186,-54864
187,-54518
188,-54175
189,-53834
190,-53496
191,-53160
192,-52827
193,-52497
194,-52169
195,-51844
196,-51521
197,-51201
198,-50883
199,-50568
200,-50255
201,-49945
202,-49637
203,-49332
204,-49029
205,-48728
206,-48430
207,-48134
208,-47840
209,-47549
210,-47260
211,-46973
212,-46688
213,-46406
214,-46126
215,-45848
216,-45572
217,-45298
218,-45027
219,-44758
220,-44491
221,-44226
222,-43963
223,-43702
224,-43443
225,-43186
226,-42931
227,-42678
228,-42427
229,-42178
230,-41931
231,-41686
232,-41443
233,-41202
234,-40963
235,-40725
236,-40489
237,-40255
238,-40023
239,-39793
240,-39565
241,-39338
242,-39113
243,-38890
244,-38669
245,-38449
246,-38231
247,-38015
248,-37800
249,-37587
250,-37376
251,-37166
252,-36958
253,-36752
254,-36547
255,-36344
256,-36142
257,-35942
258,-35744
259,-35547
260,-35352
261,-35158
262,-34966
263,-34775
264,-34586
265,-34398
266,-34212
267,-34027
268,-33844
269,-33662
270,-33481
271,-79114
272,-78614
273,-78114
274,-77614
275,-77114
276,-76614
277,-76114
278,-75614
279,-75114
280,-74614
281,-74114
282,-73617
283,-73124
284,-72635
285,-72150
286,-71669
287,-71192
288,-70718
289,-70248
290,-69782
291,-69319
292,-68860
293,-68404
294,-67952
295,-67504
296,-67059
297,-66618
298,-66180
299,-65745
300,-65314
301,-64886
302,-64462
303,-64041
304,-63623
305,-63208
