Tick,V_uV
0,-68003
1,-67506
2,-67011
3,-66518
4,-66027
5,-65538
6,-65051
7,-64566
8,-64083
9,-63602
10,-63123
11,-62645
12,-62169
13,-61695
14,-61223
15,-60753
16,-60285
17,-59819
18,-59354
19,-58891
20,-58430
21,-57971
22,-57514
23,-57058
24,-56604
25,-56152
26,-55702
27,-55253
28,-54806
29,-54361
30,-53918
31,-53476
32,-53036
33,-52598
34,-52162
35,-51727
36,-51294
37,-50863
38,-50433
39,-50005
40,-49579
41,-49154
42,-48731
43,-48310
44,-47890
45,-47472
46,-47056
47,-46641
48,-46228
49,-45816
50,-45406
51,-44998
52,-44591
53,-44186
54,-43782
55,-43380
56,-42980
57,-42581
58,-42184
59,-41788
60,-41394
61,-41001
62,-40610
63,-40220
64,-39832
65,-39445
66,-39060
67,-38676
68,-73502
69,-73002
70,-72502
71,-72002
72,-71502
73,-71002
74,-70502
75,-70002
76,-69502
77,-69002
78,-68502
79,-68003
80,-67506
81,-67011
82,-66518
83,-66027
84,-65538
85,-65051
86,-64566
87,-64083
88,-63602
89,-63123
90,-62645
91,-62169
92,-61695
93,-61223
94,-60753
95,-60285
96,-59819
97,-59354
98,-58891
99,-58430
100,-57971
101,-57514
102,-57058
103,-56604
104,-56152
105,-55702
106,-55253
107,-54806
108,-54361
109,-53918
110,-53476
111,-53036
112,-52598
113,-52162
114,-51727
115,-51294
116,-50863
117,-50433
118,-50005
119,-49579
120,-49154
121,-48731
122,-48310
123,-47890
124,-47472
125,-47056
126,-46641
127,-46228
128,-45816
129,-45406
130,-44998
131,-44591
132,-44186
133,-43782
134,-43380
135,-42980
136,-42581
137,-42184
138,-41788
139,-41394
140,-41001
141,-40610
142,-40220
143,-39832
144,-39445
145,-39060
146,-38676
147,-73502
148,-73002
149,-72502
150,-72002
151,-71502
152,-71002
153,-70502
154,-70002
155,-69502
156,-69002
157,-68502
158,-68003
159,-67506
160,-67011
161,-66518
162,-66027
163,-65538
164,-65051
165,-64566
166,-64083
167,-63602
168,-63123
169,-62645
170,-62169
171,-61695
172,-61223
173,-60753
174,-60285
175,-59819
176,-59354
177,-58891
178,-58430
179,-57971
180,-57514
181,-57058
182,-56604
183,-56152
184,-55702
185,-55253
186,-54806
187,-54361
188,-53918
189,-53476
190,-53036
191,-52598
192,-52162
193,-51727
194,-51294
195,-50863
196,-50433
197,-50005
198,-49579
199,-49154
200,-48731
201,-48310
202,-47890
203,-47472
204,-47056
205,-46641
206,-46228
207,-45816
208,-45406
209,-44998
210,-44591
211,-44186
212,-43782
213,-43380
214,-42980
215,-42581
216,-42184
217,-41788
218,-41394
219,-41001
220,-40610
221,-40220
222,-39832
223,-39445
224,-39060
225,-38676
226,-73502
227,-73002
228,-72502
229,-72002
230,-71502
231,-71002
232,-70502
233,-70002
234,-69502
235,-69002
236,-68502
237,-68003
238,-67506
239,-67011
240,-66518
241,-66027
242,-65538
243,-65051
244,-64566
245,-64083
246,-63602
247,-63123
248,-62645
249,-62169
250,-61695
251,-61223
252,-60753
253,-60285
254,-59819
255,-59354
256,-58891
257,-58430
258,-57971
259,-57514
260,-57058
261,-56604
262,-56152
263,-55702
264,-55253
265,-54806
266,-54361
267,-53918
268,-53476
269,-53036
270,-52598
271,-52162
272,-51727
273,-51294
274,-50863
275,-50433
276,-50005
277,-49579
278,-49154
279,-48731
280,-48310
281,-47890
282,-47472
283,-47056
284,-46641
285,-46228
286,-45816
287,-45406
288,-44998
289,-44591
290,-44186
291,-43782
292,-43380
293,-42980
294,-42581
295,-42184
296,-41788
297,-41394
298,-41001
299,-40610
300,-40220
301,-39832
302,-39445
303,-39060
304,-38676
305,-73502
306,-73002
307,-72502
308,-72002
309,-71502
310,-71002
311,-70502
312,-70002
313,-69502
314,-69002
315,-68502
316,-68003
317,-67506
318,-67011
319,-66518
320,-66027
321,-65538
322,-65051
323,-64566
324,-64083
325,-63602
326,-63123
327,-62645
328,-62169
329,-61695
330,-61223
331,-60753
332,-60285
333,-59819
334,-59354
335,-58891
336,-58430
337,-57971
338,-57514
339,-57058
340,-56604
341,-56152
342,-55702
343,-55253
344,-54806
345,-54361
346,-53918
347,-53476
348,-53036
349,-52598
350,-52162
351,-51727
352,-51294
353,-50863
354,-50433
355,-50005
356,-49579
357,-49154
358,-48731
359,-48310
360,-47890
361,-47472
362,-47056
363,-46641
364,-46228
365,-45816
366,-45406
367,-44998
368,-44591
