Tick,V_uV
0,-71712
1,-71227
2,-70750
3,-70280
4,-69817
5,-69362
6,-68914
7,-68473
8,-68039
9,-67611
10,-67190
11,-66776
12,-66368
13,-65967
14,-65572
15,-65183
16,-64800
17,-64423
18,-64052
19,-63687
20,-63327
21,-62973
22,-62625
23,-62282
24,-61944
25,-61612
26,-61285
27,-60963
28,-60646
29,-60334
30,-60027
31,-59725
32,-59427
33,-59134
34,-58846
35,-58562
36,-58282
37,-58007
38,-57736
39,-57469
40,-57207
41,-56949
42,-56695
43,-56445
44,-56199
45,-55956
46,-55717
47,-55482
48,-55251
49,-55023
50,-54799
51,-54578
52,-54361
53,-54147
54,-53936
55,-53729
56,-53525
57,-53324
58,-53126
59,-52931
60,-52739
61,-52550
62,-52364
63,-52181
64,-52001
65,-51824
66,-51650
67,-51478
68,-51309
69,-51143
70,-50979
71,-50818
72,-50659
73,-50503
74,-50349
75,-50198
76,-50049
77,-77205
78,-76705
79,-76205
80,-75705
81,-75205
82,-74705
83,-74205
84,-73705
85,-73205
86,-72705
87,-72205
88,-71712
89,-71227
90,-70750
91,-70280
92,-69817
93,-69362
94,-68914
95,-68473
96,-68039
97,-67611
98,-67190
99,-66776
100,-66368
101,-65967
102,-65572
103,-65183
104,-64800
105,-64423
106,-64052
107,-63687
108,-63327
109,-62973
110,-62625
111,-62282
112,-61944
113,-61612
114,-61285
115,-60963
116,-60646
117,-60334
118,-60027
119,-59725
120,-59427
121,-59134
122,-58846
123,-58562
124,-58282
125,-58007
126,-57736
127,-57469
128,-57207
129,-56949
130,-56695
131,-56445
132,-56199
133,-55956
134,-55717
135,-55482
136,-55251
137,-55023
138,-54799
139,-54578
140,-54361
141,-54147
142,-53936
143,-53729
144,-53525
145,-53324
146,-53126
147,-52931
148,-52739
149,-52550
150,-52364
151,-52181
152,-52001
153,-51824
154,-51650
155,-51478
156,-51309
157,-51143
158,-50979
159,-50818
160,-50659
161,-50503
162,-50349
163,-50198
164,-50049
165,-77205
166,-76705
167,-76205
168,-75705
169,-75205
170,-74705
171,-74205
172,-73705
173,-73205
174,-72705
175,-72205
176,-71712
177,-71227
178,-70750
179,-70280
180,-69817
181,-69362
182,-68914
183,-68473
184,-68039
185,-67611
186,-67190
187,-66776
188,-66368
189,-65967
190,-65572
191,-65183
192,-64800
193,-64423
194,-64052
195,-63687
196,-63327
197,-62973
198,-62625
199,-62282
200,-61944
201,-61612
202,-61285
203,-60963
204,-60646
205,-60334
206,-60027
207,-59725
208,-59427
209,-59134
210,-58846
211,-58562
212,-58282
213,-58007
214,-57736
215,-57469
216,-57207
217,-56949
218,-56695
219,-56445
220,-56199
221,-55956
222,-55717
223,-55482
224,-55251
225,-55023
226,-54799
227,-54578
228,-54361
229,-54147
230,-53936
231,-53729
232,-53525
233,-53324
234,-53126
235,-52931
236,-52739
237,-52550
238,-52364
239,-52181
240,-52001
241,-51824
242,-51650
243,-51478
244,-51309
245,-51143
246,-50979
247,-50818
248,-50659
249,-50503
250,-50349
251,-50198
252,-50049
253,-77205
254,-76705
255,-76205
256,-75705
257,-75205
258,-74705
259,-74205
260,-73705
261,-73205
262,-72705
263,-72205
264,-71712
265,-71227
266,-70750
267,-70280
268,-69817
269,-69362
270,-68914
271,-68473
272,-68039
273,-67611
274,-67190
275,-66776
276,-66368
277,-65967
278,-65572
279,-65183
280,-64800
281,-64423
282,-64052
283,-63687
284,-63327
285,-62973
286,-62625
287,-62282
288,-61944
289,-61612
290,-61285
291,-60963
292,-60646
293,-60334
294,-60027
295,-59725
296,-59427
297,-59134
298,-58846
299,-58562
300,-58282
301,-58007
302,-57736
303,-57469
